Frequency (Hz)	Level (dB)
1274.496460	-52.842621
1275.842285	-53.496449
1277.188110	-53.935928
1278.533936	-53.651291
1279.879761	-54.432674
1281.225586	-54.267643
1282.571411	-53.792248
1283.917236	-54.221931
1285.263062	-54.038815
1286.608887	-53.477043
1287.954712	-53.477856
1289.300537	-53.893681
1290.646362	-53.780880
1291.992188	-55.081322
1293.338013	-53.557919
1294.683838	-53.731152
1296.029663	-54.594833
1297.375488	-53.789211
1298.721313	-53.346054
1300.067139	-53.273800
1301.412964	-53.765797
1302.758789	-53.929340
1304.104614	-54.261078
1305.450439	-55.612736
1306.796265	-55.551338
1308.142090	-55.342369
1309.487915	-55.827621
1310.833740	-55.540752
1312.179565	-54.077766
1313.525391	-54.026001
1314.871216	-54.541344
1316.217041	-54.800636
1317.562866	-55.058853
1318.908691	-54.842842
1320.254517	-54.509838
1321.600342	-54.208447
1322.946167	-54.778603
1324.291992	-55.647438
1325.637817	-55.477177
1326.983643	-54.999668
1328.329468	-54.067265
1329.675293	-54.624897
1331.021118	-56.293621
1332.366943	-57.132389
1333.712769	-57.156437
1335.058594	-56.210621
1336.404419	-55.685699
1337.750244	-56.065952
1339.096069	-55.903576
1340.441895	-55.551987
1341.787720	-56.245068
1343.133545	-55.794674
1344.479370	-55.649372
1345.825195	-56.046238
1347.171021	-54.863987
1348.516846	-54.815105
1349.862671	-56.196064
1351.208496	-55.756260
1352.554321	-56.294792
1353.900146	-56.102787
1355.245972	-56.457462
1356.591797	-57.192562
1357.937622	-56.015224
1359.283447	-55.719841
1360.629272	-55.492924
1361.975098	-56.052818
1363.320923	-57.342934
1364.666748	-57.324352
1366.012573	-56.873013
1367.358398	-56.361389
1368.704224	-56.533474
1370.050049	-57.333328
1371.395874	-56.869331
1372.741699	-57.309746
1374.087524	-56.411724
1375.433350	-57.731636
1376.779175	-58.024532
1378.125000	-57.163532
1379.470825	-56.167469
1380.816650	-55.683281
1382.162476	-57.804333
1383.508301	-57.607273
1384.854126	-57.954197
1386.199951	-57.675289
1387.545776	-57.318161
1388.891602	-56.747288
1390.237427	-56.668003
1391.583252	-57.392284
1392.929077	-56.497059
1394.274902	-55.885384
1395.620728	-56.825783
1396.966553	-57.244003
1398.312378	-57.072685
1399.658203	-57.203876
1401.004028	-56.639374
1402.349854	-57.390415
1403.695679	-57.233955
1405.041504	-57.538471
1406.387329	-57.216511
1407.733154	-57.829376
1409.078979	-58.713558
1410.424805	-58.246666
1411.770630	-57.100792
1413.116455	-56.682076
1414.462280	-56.580231
1415.808105	-56.351719
1417.153931	-57.908596
1418.499756	-58.178444
1419.845581	-57.771481
1421.191406	-56.706486
1422.537231	-57.830189
1423.883057	-58.522240
1425.228882	-57.637032
1426.574707	-56.632236
1427.920532	-56.988853
1429.266357	-57.473110
1430.612183	-56.017452
1431.958008	-56.891029
1433.303833	-56.712948
1434.649658	-56.708843
1435.995483	-57.324181
1437.341309	-56.140839
1438.687134	-56.931442
1440.032959	-56.455147
1441.378784	-55.716675
1442.724609	-54.883522
1444.070435	-56.194984
1445.416260	-56.613834
1446.762085	-56.832638
1448.107910	-56.317490
1449.453735	-57.187340
1450.799561	-57.474281
1452.145386	-56.797363
1453.491211	-56.235802
1454.837036	-57.150234
1456.182861	-56.658752
1457.528687	-56.720585
1458.874512	-56.434505
1460.220337	-56.469379
1461.566162	-56.553257
1462.911987	-56.113914
1464.257812	-56.992031
1465.603638	-56.228809
1466.949463	-55.494961
1468.295288	-55.485176
1469.641113	-56.000256
1470.986938	-56.103626
1472.332764	-55.459316
1473.678589	-54.500965
1475.024414	-54.542416
1476.370239	-55.384602
1477.716064	-55.646511
1479.061890	-55.907974
1480.407715	-55.287529
1481.753540	-54.692089
1483.099365	-54.110226
1484.445190	-53.505413
1485.791016	-53.875797
1487.136841	-53.124058
1488.482666	-54.819202
1489.828491	-54.663849
1491.174316	-53.922668
1492.520142	-53.833828
1493.865967	-54.187229
1495.211792	-53.281834
1496.557617	-53.599884
1497.903442	-53.068935
1499.249268	-53.892868
1500.595093	-54.369202
1501.940918	-54.472672
1503.286743	-54.142647
1504.632568	-54.046326
1505.978394	-52.706497
1507.324219	-52.882092
1508.670044	-54.010025
1510.015869	-52.510914
1511.361694	-52.938293
1512.707520	-53.454090
1514.053345	-52.507851
1515.399170	-52.218063
1516.744995	-51.903835
1518.090820	-51.300442
1519.436646	-51.379566
1520.782471	-52.630791
1522.128296	-53.130192
1523.474121	-52.489368
1524.819946	-52.447212
1526.165771	-52.141178
1527.511597	-51.566940
1528.857422	-53.336922
1530.203247	-53.375484
1531.549072	-51.615768
1532.894897	-51.005692
1534.240723	-51.786312
1535.586548	-52.029797
1536.932373	-51.253513
1538.278198	-52.371731
1539.624023	-51.156025
1540.969849	-51.062893
1542.315674	-51.879620
1543.661499	-52.311802
1545.007324	-51.936218
1546.353149	-51.008625
1547.698975	-49.830059
1549.044800	-50.188267
1550.390625	-50.571739
1551.736450	-50.506134
1553.082275	-50.459339
1554.428101	-50.218544
1555.773926	-50.420624
1557.119751	-49.435440
1558.465576	-50.165920
1559.811401	-50.841579
1561.157227	-50.233917
1562.503052	-49.119984
1563.848877	-48.933666
1565.194702	-50.077080
1566.540527	-50.212971
1567.886353	-51.135941
1569.232178	-50.342651
1570.578003	-50.039753
1571.923828	-52.129227
1573.269653	-50.878418
1574.615479	-50.021709
1575.961304	-48.997204
1577.307129	-48.883137
1578.652954	-49.573009
1579.998779	-49.077442
1581.344604	-48.200970
1582.690430	-48.362560
1584.036255	-49.506817
1585.382080	-49.937698
1586.727905	-48.802330
1588.073730	-48.705811
1589.419556	-49.256256
1590.765381	-48.933704
1592.111206	-48.868099
1593.457031	-49.193737
1594.802856	-49.523376
1596.148682	-50.275684
1597.494507	-49.964973
1598.840332	-48.462631
1600.186157	-48.307339
1601.531982	-48.953922
1602.877808	-47.796108
1604.223633	-48.173996
1605.569458	-48.205227
1606.915283	-47.629601
1608.261108	-48.817039
1609.606934	-48.689857
1610.952759	-48.278423
1612.298584	-48.151691
1613.644409	-47.149487
1614.990234	-46.929192
1616.336060	-47.315769
1617.681885	-47.501263
1619.027710	-47.458233
1620.373535	-46.192894
1621.719360	-46.561466
1623.065186	-47.100861
1624.411011	-46.365799
1625.756836	-46.727001
1627.102661	-47.495586
1628.448486	-46.513824
1629.794312	-47.260098
1631.140137	-47.192871
1632.485962	-47.642437
1633.831787	-46.700283
1635.177612	-47.221619
1636.523438	-47.133549
1637.869263	-46.712627
1639.215088	-46.518478
1640.560913	-46.363445
1641.906738	-46.691494
1643.252563	-46.706215
1644.598389	-46.822289
