Frequency (Hz)	Level (dB)
901.702881	-44.295403
903.048706	-43.419033
904.394531	-43.092216
905.740356	-42.683453
907.086182	-42.352169
908.432007	-42.090183
909.777832	-42.145855
911.123657	-43.791943
912.469482	-43.472683
913.815308	-42.113205
915.161133	-42.303322
916.506958	-43.325474
917.852783	-43.462048
919.198608	-42.652847
920.544434	-42.822178
921.890259	-42.221867
923.236084	-41.780491
924.581909	-41.701077
925.927734	-42.066074
927.273560	-42.717037
928.619385	-42.215782
929.965210	-42.383808
931.311035	-42.219090
932.656860	-42.794514
934.002686	-41.498451
935.348511	-41.292191
936.694336	-42.548515
938.040161	-41.975170
939.385986	-41.778084
940.731812	-42.064640
942.077637	-42.431164
943.423462	-42.393536
944.769287	-40.656963
946.115112	-41.215439
947.460938	-40.986958
948.806763	-40.963314
950.152588	-41.322899
951.498413	-42.007866
952.844238	-40.310619
954.190063	-41.815220
955.535889	-41.725220
956.881714	-41.124969
958.227539	-42.778423
959.573364	-42.311295
960.919189	-41.832153
962.265015	-42.060555
963.610840	-42.039696
964.956665	-42.065380
966.302490	-41.510517
967.648315	-41.356308
968.994141	-42.375172
970.339966	-42.155930
971.685791	-42.131584
973.031616	-40.514599
974.377441	-40.798042
975.723267	-42.062553
977.069092	-42.267986
978.414917	-41.827499
979.760742	-42.829060
981.106567	-42.777657
982.452393	-41.071217
983.798218	-41.338764
985.144043	-41.137634
986.489868	-41.388710
987.835693	-42.135464
989.181519	-42.354507
990.527344	-42.731895
991.873169	-43.680420
993.218994	-43.102493
994.564819	-42.338032
995.910645	-43.613155
997.256470	-43.994278
998.602295	-42.436985
999.948120	-41.851089
1001.293945	-42.618801
1002.639771	-42.723213
1003.985596	-41.755077
1005.331421	-42.507004
1006.677246	-42.233288
1008.023071	-41.353142
1009.368896	-41.785118
1010.714722	-42.305740
1012.060547	-41.934036
1013.406372	-42.117489
1014.752197	-41.140995
1016.098022	-41.295460
1017.443848	-42.370144
1018.789673	-43.498360
1020.135498	-43.182732
1021.481323	-42.560059
1022.827148	-42.735706
1024.172974	-43.454693
1025.518799	-43.388096
1026.864624	-42.927742
1028.210449	-41.439106
1029.556274	-41.259613
1030.902100	-42.625053
1032.247925	-43.092266
1033.593750	-42.674664
1034.939575	-42.681030
1036.285400	-42.453346
1037.631226	-42.360237
1038.977051	-42.426075
1040.322876	-41.635025
1041.668701	-42.453419
1043.014526	-41.980209
1044.360352	-41.906700
1045.706177	-41.966850
1047.052002	-42.235779
1048.397827	-41.764565
1049.743652	-41.997803
1051.089478	-41.406242
1052.435303	-42.387222
1053.781128	-42.436764
1055.126953	-42.068417
1056.472778	-42.534611
1057.818604	-42.916492
1059.164429	-43.679138
1060.510254	-41.925194
1061.856079	-41.299213
1063.201904	-41.697258
1064.547729	-41.438332
1065.893555	-42.732307
1067.239380	-42.910576
1068.585205	-41.900372
1069.931030	-42.678677
1071.276855	-43.069870
1072.622681	-42.871937
1073.968506	-41.931309
1075.314331	-42.990974
1076.660156	-42.343079
1078.005981	-42.184765
1079.351807	-42.244919
1080.697632	-41.376312
1082.043457	-41.036030
1083.389282	-41.544598
1084.735107	-41.578644
1086.080933	-42.520393
1087.426758	-42.624130
1088.772583	-43.115067
1090.118408	-43.161137
1091.464233	-42.038219
1092.810059	-40.817287
1094.155884	-41.196331
1095.501709	-42.276939
1096.847534	-42.380756
1098.193359	-42.427982
1099.539185	-41.785500
1100.885010	-41.422466
1102.230835	-41.563290
1103.576660	-41.721039
1104.922485	-42.981720
1106.268311	-43.040817
1107.614136	-41.926903
1108.959961	-40.610176
1110.305786	-41.005550
1111.651611	-41.117775
1112.997437	-41.732948
1114.343262	-42.427845
1115.689087	-40.526455
1117.034912	-40.400829
1118.380737	-41.536869
1119.726562	-42.185757
1121.072388	-41.999325
1122.418213	-41.409859
1123.764038	-41.907425
1125.109863	-42.865997
1126.455688	-43.323025
1127.801514	-41.336552
1129.147339	-41.741825
1130.493164	-41.666416
1131.838989	-42.191189
1133.184814	-41.426819
1134.530640	-41.945454
1135.876465	-41.611874
1137.222290	-42.182152
1138.568115	-43.631626
1139.913940	-42.258148
1141.259766	-42.640778
1142.605591	-42.516178
1143.951416	-41.084877
1145.297241	-40.726681
1146.643066	-41.073124
1147.988892	-41.816807
1149.334717	-41.671078
1150.680542	-42.178726
1152.026367	-42.047375
1153.372192	-41.468716
1154.718018	-41.252724
